charity_name,campaign_name,campaign_description
National Arthritis Foundation,NAF Charity Gala 2023 ,"It has been almost four years since our last NAF Charity Gala Dinner back in 2019.  For many years, this has been one of our yearly flagship events to help raise the necessary funds to provide subsidies for patient treatment and for our operational requirements in rolling out disease awareness and support group programmes for the community. It has also given us the opportunity to engage with friends of NAF – donors, healthcare workers, and beneficiaries – over the course of an enchanting evening of good food and delightful entertainment.This segment is dedicated to our Art Auction, in which interested participants will be able to bid for canvas art pieces, sponsored by an AS patient, Elizabeth. Bidding will be open from 3 August 2023 until 26 August 2023."
National Arthritis Foundation,Ride For Hope,"Ride For Hope - a cycling fundraiser by National Arthritis Foundation - strives to encourage Singaporeans to support arthritis patients through a popular activity, cycling! Funds raised will go towards furthering the Foundation's mission of supporting the arthritis community in Singapore, which includes assisting underprivileged patients so that they can get access to necessary treatment, as well as helping to educate and empower our communities to better cope with arthritis. Participants can choose from three categories – 10km, 40km and 100km – where they get to cycle the chosen distance at their own time, pace and route, using an app or distance tracker of their choice to map their progress. They can cover their committed distance over multiple attempts throughout the cycling window from 20 September to 17 October 2021. To sign up to be a participant, go to: https://rideforhope.sg/Other than being a cyclist, you can support Ride For Hope by donating to this event. All donations $30 and above are eligible for 250% tax deduction."
National Arthritis Foundation,Amee Parikh - Support my effort to fight arthritis,"I'm a volunteer with National Arthritis Foundation (NAF) by serving on its board. NAF is an IPC-status charity devoted to arthritis sufferers in Singapore. Arthritis is an incurable disease that causes inflammation in one or more of the joints. If left untreated, the condition can affect one's ability to perform common, everyday activities that you and I often take for granted. While it is most typically found within the elderly community, arthritis is a disease that affects people of all ages. Arthritis is not just an ""old age"" condition but afflicts the young as well and the sooner patients receive care, the better their chances at living a better life. To attend to the expected increase in arthritis sufferers, NAF needs to raise funds to subsidise its underprivileged patients and continue its mission of providing care and educating arthritis sufferers. Please join me in my efforts to fight arthritis by donating to this meaningful cause. Thank you!For more information: www.naf.org.sg"
National Arthritis Foundation,"Roar into Compassion, Support NAF!","🎉🐉 Embrace the Spirit of Giving this Chinese New Year! 🐉🎉Dear Friends,As we welcome the Year of the Dragon, let's join hands to bring hope and relief to those battling the dragon of arthritis every day. The National Arthritis Foundation is reaching out to you during this auspicious period, asking for your generous support to continue our programs and activities for arthritis patients and sufferers in 2024.Arthritis affects many in Singapore, causing pain, stiffness, and often, a loss of independence. But with your help, we can make a real difference in the lives of those affected. Your donation during this festive season will enable us to provide essential resources, support groups, and educational initiatives that empower individuals to manage their condition and live their best lives.This Lunar New Year, let's honor the spirit of compassion and generosity by giving back to those in need. Your contribution, no matter the size, will make a meaningful impact and bring comfort and relief to arthritis beneficiaries.Join us in spreading blessings and good fortune this season. Wishing you and your loved ones a joyous and prosperous Chinese New Year! Gong Xi Fa Cai 🍊🍊🧧With gratitude,National Arthritis Foundation"
Cerebral Palsy Alliance Singapore,"Just Ten Dollars For Suzy, The Girl With Cerebral Palsy #SYC24","Suzy, The Girl Standing Outside The Supermarket.My name is Daren and I'm part of the Advocacy & Marketing Team at Cerebral Palsy Alliance Singapore. Like many of you, I've grown up seeing this blue doll stationed outside supermarkets and have personally donated coins to her.I did not know she was called Suzy, neither did I know about the cause she was raising funds for.As a staff of CPAS, I now know her name and the cause she is raising funds for. Suzy represents a girl with cerebral palsy, a lifelong and non-curable condition. It is a complex condition resulting from a brain damage and causes a wide range of limitation in movement, muscle control and posture.I'm heartened by the work of my colleagues in their intervention, therapy and care services for over 800 children and adults we serve. I have decided to front a fundraising campaign to raise awareness and funds for Suzy.I hope to mobilise donors to donate $10 each. Together we will raise a significant amount and every dollar counts.I would like to raise funds for Suzy. If you've grown up with her, will you donate just $10 to my campaign? I have taken the first step, please join me to help Suzy to raise funds for children and adults with cerebral palsy and multiple disabilities.Funds raised will be channelled directly towards essential programs and services for over 800 children and adults with cerebral palsy and multiple disabilities.Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a Bronze, Silver or Gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Give Hope to Those with Cerebral Palsy - Tiffany #SYC24,"Hi, I’m Tiffany, a Social Worker at CPAS. Every day, I’m grateful to get to work with over 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.Supporting these incredible individuals and their families can be challenging, but it’s a challenge I embrace wholeheartedly. I connect them with the resources they need—whether it’s financial aid, provide emotional support, or link the caregivers to resources — and sometimes, just being there to listen makes all the difference. I see the positive changes in our clients, and I know your donation today can help create even more of these moments.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Help me uplift Children and Adults with Cerebral Palsy - Doreen #SYC24,"Hi, I’m Doreen, a Senior Administrative Assistant at CPAS. Every day, I’m grateful to support over 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.In my day-to-day work, I ensure CPAS runs efficiently by coordinating activities between departments, sharing vital information, and responding to public inquiries. This behind-the-scenes effort is crucial in allowing our client-focused staff to dedicate their time to caring for those we support, and I take great pride in it. Your donation today can make a meaningful difference! --- Celebrating 40 Years of the Suzy Doll Donation Box Remember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24 --- Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'. "
Cerebral Palsy Alliance Singapore,Make a Difference for Those with Cerebral Palsy - Ee Fang #SYC24,"Hi, I’m Ee Fang, a Social Work Assistant at CPAS. Every day, I’m grateful to get to work with over 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling. I support my social work team by handling financial assistance requests, means-testing, managing different schemes, and coordinating initial screenings for families. Seeing children and adults with cerebral palsy thrive reassures me that our work is impactful. Your donation today can help them continue to flourish. --- Celebrating 40 Years of the Suzy Doll Donation Box Remember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24 --- Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'. "
Cerebral Palsy Alliance Singapore,Stand with Children and Adults with Cerebral Palsy - Bala #CPAS24,"Hi, I’m Bala, an Assistant IT Project Manager at CPAS. Every day, I’m grateful to get to support over 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them fulfilled and dignified lives.My team and I make sure the IT needs of our clients and the entire organisation are met, from security to infrastructure. Strong, robust IT systems are crucial for enabling our staff, students, and clients to learn, work effectively, and thrive. Your donation today can help us continue this important work. --- Celebrating 40 Years of the Suzy Doll Donation Box Remember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24 --- Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'. "
Cerebral Palsy Alliance Singapore,Offer brighter futures for Children & Adults with Cerebral Palsy! - CPAS HR #SYC24,"We are Dawn, Theodora, and Amy from the CPAS HR department. Our mission is to empower our clients and students by supporting for our dedicated teachers and allied health professionals. We develop engaging employee activities and provide attentive support, always ready to listen and respond promptly to their needs.We are honoured to work with over 800 children and adults in Singapore who have cerebral palsy or multiple disabilities. Our goal is to help them lead lives that are both dignified and fulfilling.Your generous donation today will play a vital role in helping them continue to thrive.--- Celebrating 40 Years of the Suzy Doll Donation Box Remember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation! #CerebralPalsySingapore #CerebralPalsySG #SYC24 --- Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'. "
Cerebral Palsy Alliance Singapore,"Together, we can support children and adults with Cerebral Palsy #SYC24","Hi, I’m Yoon Chou, a Board Member at CPAS. I’m grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Let's Make a Difference for Children & Adults with Cerebral Palsy - #SYC24,"Hello! I'm Alex, a Partnerships Executive at CPAS. Every day I see CPAS's impact to better the lives of our over 800 clients with cerebral palsy & multiple disabilities. No matter the challenges, our inspirational clients - with the help of our tireless staff - come to our center everyday on their journey to live dignified and fulfilling lives.Cerebral palsy is a life long, condition resulting from a brain damage and causes a wide range of limitation in movement, muscle control and posture. Did you know that 1 in 4 people with cerebral palsy cannot walk, 1 in 4 cannot talk, and 3 in 4 experience chronic pain? Cerebral palsy is a complex, non-curable, challenging condition that requires significant support to improve. This is why we look to donors like you, to help our children and adults get the essential services and treatment they need. As a staff, I know firsthand just how important funds are to making our work possible. Physiotherapy, special education, vocational training, psychology services, and more are just a few of our services we provide to our clients. Only through donations and partnerships is this possible.Together, we can improve the lives of our children and adults. I call on you to donate just $10 dollars to our cause. Let's make a difference together! All funds raised will be channeled directly towards essential programs and services for over 800 children and adults with cerebral palsy and multiple disabilities.Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a Bronze, Silver or Gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Support Children and Adults with Cerebral Palsy or Multiple Disabilities #CPAS24,"Cerebral palsy is a lifelong condition, without a cure. Yet with your donation today, you can make a profound difference.With your support, over 700 children and adults with cerebral palsy or multiple disabilities, under CPAS' care, can look forward to a brighter future.Your donation today could go towards providing holistic education, comprehensive therapies, and vital services for our beneficiaries.Moreover, every dollar raised in this fundraiser will be doubled by the Singapore Government and Tote Board, amplifying the impact of your contribution!Thank you for your generosity!#CerebralPalsyAllianceSingapore #CerebralPalsySG #CPAS24"
Cerebral Palsy Alliance Singapore,Support Care for people with cerebral palsy! - Nazmi #SYC24,"Hi, I’m Nazmi, an Administrative Assistant for CPAS Occupational Therapy Department. I’m grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling. In fact, I myself was a student at CPAS when I was younger, so I know firsthand the good work that CPAS does for its beneficiaries!---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Uplift Children and Adults with Cerebral Palsy - Monica & Shalani #SYC24,"Hi, we are Monica and Shalini, educators at CPAS School (East). We are grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both fulfilled and dignified.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'. "
Cerebral Palsy Alliance Singapore,"Together, We can support people with Cerebral Palsy - Helen #SYC24","Hi, I’m Helen, a Teacher Aide at CPAS School (East). I’m proud to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Join Us to Support children and adults with cerebral palsy - Geri #SYC24,"Hi, I’m Geri, an Early Intervention Educator at CPAS EIPIC. I’m grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Provide hope for children with cerebral palsy - Pearlyn #SYC24,"Hi, I’m Pearlyn, an Early Intervention Educator at CPAS EIPIC. I’m grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'"
Cerebral Palsy Alliance Singapore,Help Us Make a Difference for children with cerebral palsy - Hana and Faezah #SYC24,"Hi, we are Hana and Faezah, Early Intervention Educators at CPAS EIPIC. I’m grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Be a Hero for children with cerebral palsy - Korine #SYC24,"Hi, I’m Korine, Head of the Academic Programme at CPAS School (East). I’m grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
Cerebral Palsy Alliance Singapore,Give Children and Adults with Cerebral Palsy a Brighter Future #SYC24,"Hi, we are Firah, Yee Mui, and Natasha from CPAS GROW programme. We are grateful to get to support CPAS in providing assistance to more than 800 children and adults in Singapore who have cerebral palsy or multiple disabilities, helping them lead lives that are both dignified and fulfilling.---Celebrating 40 Years of the Suzy Doll Donation BoxRemember Suzy? The iconic Suzy Doll donation box represents a girl with Cerebral Palsy, a lifelong, non-curable condition affecting a person’s posture and mobility. For 40 years, the Suzy doll donation boxes used to be everywhere—in supermarkets, fast food chains, and retail shops across Singapore. But with the shift to cashless giving, there are fewer than 20 boxes left, and donations have dropped significantly.This campaign is in support of CPAS' Spare Your Change for Suzy campaign commemorating World Cerebral Palsy Month. To celebrate Suzy's 40th year anniversary, your donation to this campaign will be eligible for a redemption of a bronze, silver or gold commemorative coin corresponding to your donation amount. Terms and conditions apply.Thank you for your donation!#CerebralPalsySingapore #CerebralPalsySG #SYC24---Instructions to Donate:1. Click on 'Donate Now'.2. Select the amount you would like to contribute3. Change the optional tip to $0 if you do not wish to tip the donation platform.4. Key in your Full Name and Email Address.5. Key in your NRIC for the tax-deduction. (Please note that there is a minimum required donation of $10 for tax-exemption).6. Choose your payment method (Debit/Credit Card OR PayNow)7. Click 'Donate'."
