charity_name,campaign_name,Cleaned_Campaign_Description
Singapore Red Cross Society,Be Our Champion for Humanity,stronger together majulah singapore red cross care vulnerable community elderly person live person severe disability families-in-need support send help hope essential service elderaid family lifeaid healthaid transportaid red cross home day activity centre disabled build strong inclusive caring society love compassion core seek continual support humanitarian cause please join u uplift vulnerable society supporting challenging time towards brighter tomorrow red cross champion impact giftafter husband moved nursing home mdm lim gee lew face new set challenge living alone concerned physical ailment social worker connected singapore red cross elderaid today look forward visit red cross befriender home come life lively conversation laughter.due multiple medical condition poor vision albert dhafir massie limited mobility anxiety brewed whenever needed get medical appointment coupled back pain moving around easy feat today getting fro medical appointment breeze albert ease would accompanied red cross medical chaperone
Singapore Red Cross Society,Blue Star 2019,"eventblue star 19 co-organised jci mandarin singapore charity project initiated group like-minded old boy girl ex-npcc cadet inspector old friend come together organised charity walk red cross home disabled rchd 8 lengkok bahru singapore saturday 7 september 2019 raise 100,000 rchd take part event day sponsor event registration ended participate walk 7 sept 2019 blue walker registration ended participate car rally 25 aug 2019 registration ended ﻿the singapore red cross independent humanitarian organisation dedicated protecting human life dignity relieving human suffering responding emergency red cross home disabled established 1952 residential home severely disabled singapore aim improve life resident population excess 100 child adult well family respite day activity service majority resident multiple severe disability come low-income under-privileged family team dedicated nursing professional therapy healthcare aide physiotherapist occupational speech therapist home provides quality care unable care due unfortunate disability activity enhance mobility stimulate mind engage bring joy resident singapore red cross seek generous support making difference meaningful event support enable continual uninterrupted delivery vital service rchd precursor charity walk organising charity car rally 25 aug 2019 8am.the assembly point shall kallang leisure park open air carpark expecting 40 car travelling convoy 5 car rchd participant car rally encouraged make donation via qr code credit debit card cash rchd site.donation structureto take part event day sponsor event registration ended participate walk 7 sept 2019 'blue walker registration ended participate car rally 25 aug 2019 registration ended unable take part event day still show support event rchd making donation amount 'donate button remember every drop count ’ pleased know individual corporate donation entitled 2.5 time tax deduction singapore government ’ community silver trust match 1 every 1 donated ’ singapore tote board provide funding fund raised matching 0.20 every 1 donated short every 1 donated result additional 1.20 raised rchd event detailsdate saturday 7 september 2019 0700 hr starting point red cross home disabled 8 lengkok bahru singapore 159052 carpark ending point red cross home disabled 8 lengkok bahru singapore 159052 hall level 8 distance approximately 5.28 km event limited 150 blue walker early registration encouraged ———acknowledgment risk obligation release waiver indemnity agreement1 entire document following word shall following meaning '' agreement '' mean acknowledgment risk obligation release waiver indemnity agreement `` event '' mean charity walk charity fundraiser aid singapore red cross society slated take place 7 september 2019.details available bitly.com/2019bluestar includes purpose agreement training session meeting event activity relation thereto. “ information ” mean and/or child/ward ’ personal particular data response medical questionnaire particular parent/legal guardian information furnished relation entire document relation event without limitation data information furnished time time relating and/or child/ward released party may subject obligation imposed pdpa applicable law `` organiser '' mean blue star 19 parent related affiliated organisation officer director official employee agent adviser consultant representatives. “ pdpa ” mean personal data protection act 2012 26 2012 regulation made thereunder may amended time time '' released party '' mean organiser parent related affiliated organisation officer director official employee agent adviser consultant representative successors-in-title permitted assigns foregoing individual entity `` rule ” mean rule regulation policy instruction direction best practice presently time time determined required organiser relation event.2 consideration organiser ’ acceptance and/or child/ward 's participation event condition participation agree term condition set entire document.3 hereby acknowledge agree that:4.1 event dangerous participating event and/or child/ward exposed risk danger involved incidental event may include limited following example collectively “ risk ” and/or child/ward may suffer incur and/or child/ward may injured physically mentally risk death example risk physical injury may include muscle injury broken bone insect bite b risk mental injury may include psychological injury c risk inherent associated event may include harm damage due result event walking condition factor like weather road terrain collision falling failure shoe equipment collectively “ equipment ” event accident ii and/or child/ward ’ equipment may damaged lost destroyed iii participant may behave walk/jog/run carelessly lack skill.3.2 and/or child/ward obligation child/ward others act safely comply rule and3.3 and/or child/ward voluntarily read understood risk obligation explained child/ward fullest extent permitted applicable law and/or child/ward take accept assume sole risk responsibility risk suffered incurred and/or child/ward ii and/or child/ward 's behalf behalf and/or child/ward 's heir executor administrator release forever discharge released party liability contingent otherwise claim action damage cost expense nature arising way connected and/or child/ward 's participation event.4 agree indemnify hold save harmless released party liability contingent otherwise claim action damage cost expense including limited solicitor fee disbursements.5 fullest extent permitted applicable law understand agree scope agreement includes claim action based contract negligence action omission default released party cover death personal injury except death personal injury caused gross negligence released party property damage whether suffered and/or child/ward participating event subject foregoing released party responsible liable loss damage person property indirect special consequential damage loss whether loss income profit economic opportunity goodwill otherwise cost expense claim compensation arising connection event.6 declare warrant and/or child/ward am/are sound good health medically physically fit am/are suffering ill health may directly indirectly interfere impede incapacitate and/or child/ward 's voluntary participation event.7 agree give consent released party may receive collect store access use disclose information purpose set acknowledge reasonable act relation purpose given circumstances:7.1 purpose facilitating and/or enabling good governance record-keeping administration research survey analysis evaluation risk management reason 7.2 purpose facilitating and/or obtaining required necessary approval permit licence filing reporting formality whatever nature relevant authority regulator party relation event event and7.3 purpose facilitating and/or enabling staff hand event provide procure evacuation transport medical hospital treatment care and/or child/ward event accident illness information intended waiver whether whole part term condition agreement.8 authorise evacuation transport medical hospital treatment care facility and/or child/ward cost expense need arises.9 unconditionally grant released party right photograph film videotape record and/or otherwise reducing material form and/or child/ward use and/or child/ward 's name likeness pose voice statement appearance including performance activity biographical material concerning and/or child/ward reproduction adaptation thereof edit collectively `` performance '' connection event including purpose broadcast exhibition publicity advertisement and/or promotion event whole part without restriction limitation unlimited number time medium format existing developed future worldwide perpetuity without reservation limitation forever release released party right and/or child/ward may connection foregoing use performance avoidance doubt organiser shall sole exclusive owner thereof full ownership usage rights.10 however understand acknowledge released party obligation whatsoever exercise said right granted clause 9 herein use manner performance whether whole part event performance used shall time object raise claim released party usage performance.11 declare warrant part performance appearance and/or child/ward relation thereto obscene defamatory derogatory offensive would expose released party civil criminal proceeding violate infringe upon right third party give rise claim whatsoever.12 acknowledge agree participate and/or procure child/ward 's participation promotional publicity activity and/or press/media interview relation event released party may reasonably request time time render necessary assistance may required regard.13 declare represent warrant information furnished complete accurate true unless notify organiser writing contrary continue complete accurate true.14 agreeing submitting agreement acknowledge read understood voluntarily agreed term conditions.15 entire document shall governed law republic singapore event dispute claim question disagreement arising relating entire document breach thereof agree resort proceed litigation form dispute resolution unless first made reasonable effort resolve discussion toward mutually acceptable amicable settlement default mediation accordance mediation rule singapore mediation centre time force agree participate mediation good faith undertake abide term settlement reached extent dispute settled mediation within thirty 30 day commencement mediation shall adjudicated finally resolved court republic singapore agree submit non-exclusive jurisdiction.16 save party specifically mentioned herein person party party agreement whether benefit conferred purported conferred directly indirectly right contract right third party act cap 53b singapore enforce term agreement.acknowledgement declaration parent/legal guardian1 consideration organiser ’ acceptance and/or child/ward 's participation event condition participation acknowledge understand participation charity walk subject term condition determined required organiser submitting acknowledgment declaration accept agree bound accordingly.2 acknowledge understand may required hereby agree pay fee organiser may require participant pay respect accommodation and/or transportation event.3 declare organiser follows:3.1 personal particular furnished section 1 2 3 4 information whatever nature furnished and/or child/ward time time complete correct true change declaration acknowledgement declaration undertake inform organiser immediately writing 3.2 least 21 year age and/or child/ward chosen take part event and/or free volition 3.3 and/or child/ward continue sound good health physically fit walking capability participate event without limiting foregoing and/or child/ward unwell least three week prior event example suffering influenza-like symptom illness and3.4 best information knowledge belief aware and/or child/ward suffering illness disease may directly indirectly interfere impede incapacitate and/or child/ward ’ voluntary participation event.4 hereby agree procure child/ward undergo health screening examination organiser may require participant undergo sign document and/or make declaration relation thereto purpose and/or child/ward ’ participation event nevertheless understand accept organiser obliged make requirement entitled continue rely upon declaration warranty entire document evidence and/or child/ward ’ sound good health walking capability therefore and/or child/ward ’ ability participate event"
Singapore Red Cross Society,BlueStar 2020 - Be a BlueStar Walker,"covid-19 announcementdear friend due covid-19 situation event 's format changed virtual walk walker like distance goal 28km 2 week please continue reading details.about eventbluestar 2020 charity project initiated group like-minded old boy girl ex-npcc cadet inspector old friend come together organised charity walk raise 150,000 red cross home disabled ﻿event detailsregistration begin 1st october 2020 bluestar walker like donate least 28 walk 28km within 15 day period 28th november 2020 13th december 2020 bluestar walker receive finisher gift pack worth 180format virtual walk eventregistration start 1st october 2020registration end 27th november 2020walking date range saturday 28th november 2020 13th december 2020your walking goal 28km 2 week averaging 2km per day notice please note optional tip ranging 3 10 making donation payment tip go deeda.care free fundraising platform deeda solely relies generosity run operation marketing however tip totally optional always edit tip portion 0 opt out.bluestar walker participation detailsclick donate button register today.s 28 single walker click button next donation option page clicking donate bluestar corporate group participation detailsclick donate button register company nameenter total donation amount total number walker e.g 10 walker donation amount 280email group participation list event redcross.sg following info full namebest email address receive event update t-shirt sizeif participant donated individually please include donation amountnric tax deduction purpose record walking mileage 28th november 13th december 2020 record daily mileage digitally manually.this done form screenshots b excel spreadsheet.save file full name per registration easy identification.on 14th december 2020 email total mileage clocked mileage bluestarcharity.asia information event made available via email.let 's walk together make difference thank you.registrations officially closed 28th november 2020 12noon thank support bluestar 2020 virtual charity walk donation still welcomed till 31st december 2020.﻿collection finisher pack end january detail notified via email thank understanding"
Singapore Red Cross Society,Gift your unused petrol spend to feed a hungry family today #wegiveinsolidarity,"today turn unused petrol spend driving force feed 100 hungry family one monthdear friend circuit breaker play right might work home status need drive much all.i appeal donate unused petrol spend towards feeding least 100 hungry family one month.not everyone lucky lost job ... mean sole breadwinner longer put healthy food table feed child themselves. “ monthly foodaid worth 250 singapore red cross benefit family lot enables u fresh food product child grow healthily ” safri bin sallehhow help gift dowith gift help people like safri child get rid food worry ’ able buy enjoy healthier food beneficiary foodaid.if divided 250 worth food voucher feed family four month mean le 9/day meals.while ’ give little treat life ’ likely find enjoyable satisfying gift mere 3/day family like safri ’ s.if encourage 2 3 car-driving friend join monthly gifting together mean family four food worry month receive support.i ’ like ask help giving gift foodaid family gift 3/day help meal month.together 2 3 friend gifting 3 please per day help family meal month.you help support 100 familieswe 're looking support 100 family next 1 month set modest goal 25,000 this.with generous help support singapore red cross hope benefit 100 family bring food table get rid food worry month least.i hope support cause making donation unused petrol spend thank advance.donating really simple secure money directly go singapore red cross.p.s unutilised fund covid-19 channelled towards singapore red cross 's local programme"
Singapore Red Cross Society,Raya for Humanity,tender age 11 year old elyana face myriad problem family issue poor grade challenge interpersonal relationship school.elyana ’ family 8 stay rental flat often experience difficulty sleeping alternate sleeping floor bedroom living environment unconducive elyana focus study find well enough school top friend would say hurtful thing kept herself.she eventually found way singapore red cross ’ young heart programme may 2022 part young heart programme enabled expand horizon going outing new place attending tuition class could find temporary relief heavy burden tiny shoulders. “ really enjoy outing recent trip universal studio singapore never ” said elyana “ tuition also helped improve grade made responsible person. ” guidance support staff volunteer elyana ’ grade outlook life since improved today confident paving future hope make academic progress well psle.this hari raya join u giving young one opportunity celebrate enabling take breather daily challenge unable choose environment born child receive equal opportunity learn advance life also fun 100 support child two excursion inclusive entrance fee transport share well wish gift today send warmth cheer hope strength donation local cause 250 tax deductible
Singapore Red Cross Society,Sustainable Kids Market 2024 by Peace of Art,"amidst singapore 's towering skyline lie concealed reality — 23,900 child live public rental housing grappling adversity cramped living condition severely restricted opportunities.the sustainable kid market 2024 taking place may 25-26 marina square emerges groundbreaking catalyst change — first-of-its-kind community event committed ensuring academic mentorship support child public rental housing mission clear equip every child member future generation essential tool despite circumstance background.at heart movement impactful kidsforkids initiative uniting child across nation empower le fortunate peer transformative power art child-centric theme focused art sustainable living weave various aspect sustainable kid market encompassing art auction public art collaboration sustainable living workshop live performances.this unique event transforms every citizen advocate sustainable living well fundraiser underprivileged exemplifying democratisation philanthropy even youngest individual becomes giver change-maker.your invaluable support breathe life young heart programme delivering educational support enrichment mentorship empower child break intergenerational chain vulnerability entrap together let u confront challenge faced underprivileged child nation charting course toward sustainable inclusive future singapore.beneficiaryour objective sustainable kid market 2024 raise 100,000 funding facilitate expansion young heart programme singapore red cross institute public character support greater number underprivileged child education mentorship well provide opportunity otherwise reach.the program includes ● education child four 18 year old enhance literacy confidence.● mentorship enrich development positive holistic approach adopted volunteer serve positive role model provide child guidance mentorship motivation.● enrichment targeted programme personal development workshop partner nurture student equipping character development opportunity skill abilities.organiserpeace art unique not-for-profit organisation mission embed art sustainable living cultural fabric nation bolster support underprivileged child foster sustainable future singapore community engagement corporate involvement.distinguishing philanthropic fundraiser peace art maintains 100 impact policy — give 100 raise — ensuring every donation received reach underprivileged individual serve committed operating without compensation donated fund dedicated volunteerism business leader professional family child"
Singapore Red Cross Society,Soiree Cinematic Movie Fundraiser (June) - Men In Black International,update﻿﻿dear friend thank visiting campaign page ﻿all movie ticket fully redeemed still accepting donation would like make one donation qualify 2.5x tax exemption.thanks question contact u 65 6660 0500 pd redcross.sg pd.intern redcross.sg information. -- -- -- -- -- -- -- -- -- -- -- -date time 29th june 2019 2pmlocation clementi 321 clementi ave 3 03-03 321 singapore 129905﻿catch `` men black international '' together red cross singapore please note ticket reserved donation confirmed ie online payment successful ensure email address enter correct payment confirmation receive email red cross singapore deeda 'll need keep email claim ticket ticket entitlement based first come first serve basis date donation received donation qualify 2.5x tax exemption
Singapore Red Cross Society,Blue Star 2019 - Be an Event Sponsor,"eventblue star 19 co-organised jci mandarin singapore charity project initiated group like-minded old boy girl ex-npcc cadet inspector old friend come together organised charity walk red cross home disabled rchd 8 lengkok bahru singapore saturday 7 september 2019 raise 100,000 rchd event detailsdate saturday 7 september 2019 0700 hr starting point red cross home disabled 8 lengkok bahru singapore 159052 carpark ending point red cross home disabled 8 lengkok bahru singapore 159052 hall level 8 distance approximately 5.28 km event limited 150 blue walker early registration encouraged event sponsorship details﻿you able choose following donation amount next step.s 1000 polaris 3000 alphards 5000 canopus 10,000 siriusyou ’ pleased know individual corporate donation entitled 2.5 time tax deduction singapore government ’ community silver trust match 1 every 1 donated ’ singapore tote board provide funding fund raised matching 0.20 every 1 donated short every 1 donated result additional 1.20 raised rchdthank advance generosity main event detail click"
Singapore Red Cross Society,Blue Star 2019 - Be a Blue Walker,"eventblue star 19 co-organised jci mandarin singapore charity project initiated group like-minded old boy girl ex-npcc cadet inspector old friend come together organised charity walk red cross home disabled rchd 8 lengkok bahru singapore saturday 7 september 2019 raise 100,000 rchd ﻿event detailsdate saturday 7 september 2019 0700 hr starting point red cross home disabled 8 lengkok bahru singapore 159052 carpark ending point red cross home disabled 8 lengkok bahru singapore 159052 hall level 8 distance approximately 5.28 km event limited 150 blue walker early registration encouraged blue walker participation details﻿you able choose following donation amount next step.s 35 single walker 60 couple 90 family 4any amount also choose donate amount comfortable long le indicated amount eg able sign single walker donate 30.﻿thank advance generosity.for main event detail click"
Singapore Red Cross Society,Blue Star 2019 - Drive in the Car Rally,"dear friend thank visiting campaign page registration car rally event ended however still accepting donation towards red cross home disabled link.your donation qualify 2.5x tax exemption moreover singapore government ’ community silver trust match 1 every 1 donated singapore tote board provide funding fund raised matching 0.20 every 1 donated.thanks interest kind support question contact u 65 6660 0500 pd redcross.sg pd.intern redcross.sg information.about main eventblue star 19 co-organised jci mandarin singapore charity project initiated group like-minded old boy girl ex-npcc cadet inspector old friend come together organised charity walk red cross home disabled rchd 8 lengkok bahru singapore saturday 7 september 2019 raise 100,000 rchd.﻿please scroll car rally event detail ﻿car rally event detailsdate 25 aug 2019time 8am startsassembly point kallang leisure park open air carpark 4destination red cross home disabled﻿car rally car panel sponsorship detailsyou able choose following donation amount next step.s 35/car maximum 4 participant receive 1 goodie bag 1 limited edition t-shirt.thank advance generosity ﻿for main event detail click"
Singapore Red Cross Society,Soiree Cinematic Movie Fundraiser (July) – Spider-Man: Far From Home,date time 27th july 2019 2pmlocation clementi 321 clementi ave 3 03-03 321 singapore 129905﻿dear friend come join u catch `` spider-man far home '' together red cross singapore ﻿every 20 donation entitles movie ticket catch latest marvel movie please note ticket reserved donation confirmed ie online payment successful ensure email address enter correct payment confirmation receive email red cross singapore deeda 'll need keep email claim ticket ticket entitlement based first come first serve basis date donation received donation qualify 2.5x tax exemption.questions contact u 65 6660 0500 pd redcross.sg pd.intern redcross.sg information.﻿
