"CampaignId","CampaignTitle","CharityName","AboutCampaign","AboutCharity"
"3749714","HELP - A dollar a day to show you care","Children-At-Risk Empowerment Association (CARE Singapore)","We are helping CARE Singapore to raise donations to fund our work with isolated seniors through the volunteer centre.  Each year, we provide free venue to host events for seniors, fund outreach support and run a helpline that anyone, including the elderly can call in for emotional support.   We also organize periodic events at our centres in collaboration with the AACs to help seniors have a fulfilling life.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749725","YOU R the one who can HELP","Children-At-Risk Empowerment Association (CARE Singapore)","The youths and children we work with needs you. The support for their school work, the occasional food and supplies for their families and the activities we bring them to,  Help us, we can't do it alone. It is a labour of love to nurture our children as they grow up and we will find the funds needed.  As we exit COVID and deal with the scourge of world unrest, let's work together to make sure food, love and support reaches those who need it.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749686","Inaugural Virtual Fundraising Flag Day","Ling Kwang Home for Senior Citizens","At Ling Kwang Home for Senior Citizens (LKH), we are privileged to be able to serve the aged and vulnerable in our society. At this Inaugural Virtual Flag Day, we are fundraising for our General Funds. The funds will go a long way in sustaining our operations, allowing us to care better for our residents and clients wholeheartedly.  We invite you to join us in this Virtual Flag Day where you become part of a like-minded digital community who make a difference in the lives of LKH’s residents and clients. Every dollar counts, and no donation is too small! The Enhanced Fund-raising Programme of the Ministry of Culture, Community & Youth (MCCY) has been granted to LKH for this Virtual Flag Day, whereby your donations will be matched dollar-for-dollar by MCCY. With our IPC status, you will also enjoy 250% tax exemption for the donated amount.  Please support us and donate generously and may you be blessed for partnering us in serving the aged and the vulnerable! ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749677","Persons living with demetia needs our involvement","Ling Kwang Home for Senior Citizens","Its the combined effort that makes it more meaningful... Hi, I am Edwin and have been totally blind since birth. I am thankful to God who is making me a blessing to the Senior Citizens at Ling Kwang Home as I advocate for them. I believe that Our hearts will be blessed when we support and give to those who need them. In my quest to support those who need help, I am giving my service to Ling Kwang Home as I believe in Ling Kwang Home's loving attitude towards the elderly under their care! Funds donated to the General Fund at the nursing home will be used to help to defray the costs (all costs, including direct operating and others costs) as the team runs good and meaningful activities and programmes for the elderly. Please join me to bless them? Your love and sharing, in any amount  is much appreciated. Thank you so much for your generosity.","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749715","感天感地感动你.. spread the love our world needs","Children-At-Risk Empowerment Association (CARE Singapore)","Your donation of $50 or $100 can change the world.  The world is our only home so caring for it makes sense.  Will you join me and many of us to support charities like CARE Singapore and many youth agencies to serve the world through their work.  Help youths help the world","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749689","Your good heart deserves great blessings","Ling Kwang Home for Senior Citizens","Ling Kwang Home is a Nursing Home that provides residential care to our 330 elderly residents. Our nurses and ancillary staff provide 24-hour care to our residents by following an individualised care plan. They assist the residents with daily living, clinical care, and providing psychosocial care as needed.  Please donate generously to our Nursing Home’s general fund. ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749738","Unite and help students","Children-At-Risk Empowerment Association (CARE Singapore)","Samba Masala is collaborating with Care Singapore to bring you Samba Streetz 2024!!   Your donation will help us provide counselling to parents and families in in need and impact over 1500 youths each year.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749680","Fundraising for our Inaugural Virtual Flag Day","Ling Kwang Home for Senior Citizens","Love never fails, and that is true at Ling Kwang Home for Senior Citizens!   Love exists when… our seniors are cared for holistically – physically, mentally, and spiritually – the Ah Kong and Ah Ma living in Ling Kwang Home forge close bonds with our staff and with each other – our seniors age with dignity in their Home away from home – our Ah Kong and Ah Ma are remembered by others. Help us sow seeds of love by giving to our seniors to improve the quality of their lives in their sunset years at Ling Kwang Home. The money you give will go to our General Funds so as to enable us to continue providing and caring for them to the best of our abilities.  The Enhanced Fund-raising Programme of the Ministry of Culture, Community & Youth (MCCY) has been granted to Ling Kwang Home for this Virtual Flag Day, whereby your donations will be matched dollar-for-dollar by MCCY. With our IPC status, you will also enjoy 250% tax exemption for the donated amount.  Do bless the Seniors in our Home with your love, care and generosity. Thank you. ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749543","2.	Our Pioneer and Merdeka generation need us","Ling Kwang Home for Senior Citizens","The elderly in our nation gave of themselves to build our country through their blood, sweat and tears.   Today, many of them are aged and afflicted with different illnesses. Even as we look ahead to the future, let us remember those who came before us and accord them with the respect and compassion they deserve.  At Ling Kwang Home, we are privileged to be able to serve the aged and vulnerable in the society. With your donation, we will be able to provide for the vulnerable among us. Your donation will go towards our General expenses.  The funds will go a long way in sustaining our operations, allowing us to care for our residents and clients wholeheartedly.    ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749730","You are all grown up.. now help me too","Children-At-Risk Empowerment Association (CARE Singapore)","People gripe about the durian generation, where thorny and difficult parents overly protect their children.  We feel that the family is an important part of growing up and needs to be involved in the right way.  Durian thorns are important but they need to know when to open up to allow the gems within to blossom.  Help CARE guide parents and their children to make sure the younger generation grows up with the right values.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749674","Inaugural Virtual Flag Day: Remember our Aged and Vulnerable Seniors and Make a Difference Today!","Ling Kwang Home for Senior Citizens","Ling Kwang Home for Senior Citizens is a residential nursing home providing 24-hour nursing care, rehabilitative services, and pastoral care. We strive to care for our seniors in an integrated and holistic manner – attending not just to their physical needs, but also their emotional, psychosocial, and spiritual needs.   Many of our seniors face multiple challenges such as chronic illnesses, loneliness and financial inadequacy. As Pioneer and Merdeka Generations of our nation, they may have also experienced hardships in their younger days while Singapore was nation-building. To be able to put a smile on their faces is immensely rewarding. Thus, we are inviting you to support our work and make a difference in the lives of our seniors! The money you give will go to our General Funds so as to enable us to continue providing and caring for them to the best of our abilities.  The Enhanced Fund-raising Programme of the Ministry of Culture, Community & Youth (MCCY) has been granted to Ling Kwang Home for this Virtual Flag Day, whereby your donations will be matched dollar-for-dollar by MCCY. With our IPC status, you will also enjoy 250% tax exemption for the donated amount.","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749734","COST of mental health","Children-At-Risk Empowerment Association (CARE Singapore)","When you feel down and need to speak to someone other than your friend or family, who can you contact?  Hear4U is a free WhatsApp based helpline which is free and supports anyone in need, with a focus on young persons in touble or need.  Every $150 helps us provide this free service and subsidized counselling and support sessions if the caller needs it.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749655","Our seniors thanks you for your donation","Ling Kwang Home for Senior Citizens","Ling Kwang Home is a Nursing Home that provides residential care to more than 300 residents, most of whom are at least 70 years old. We are currently raising funds for our General Funds to help defray costs in purchasing helpful equipment for our elders.  It is important for the elderly to be physically active as you and me. Strengthening their muscles not only improves their ability to do everyday activities, it also helps to reduce their chances of falling. Physical injuries caused by falls can negatively impact the quality of life in the elderly and affect their mental well-being.  We look forward to your generous donation to our General fund so that we are able to purchase the equipment for our residents! ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749735","Help make world better","Children-At-Risk Empowerment Association (CARE Singapore)","The world is only better if you do something to help  ----- We always have no time  We convince ourselves to turn a blind eye at those who are in need, choosing to believe that the Govt will help them or that they will get better.  What IF they dun, What IF your kindness today will change someone's life so that they can then help others when they get better. Beyond sickness, poverty, hunger and pain - We R all humans.  Let's help our fellow man  CARE runs a range of systematic programmes centred around a young person so that the families are in the best shape possible to nurture the young person into our future. Be it sickness, hunger or pain, we are there for them and Hear4U","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"2033617","Help Youth Mental Health, save a life","Children-At-Risk Empowerment Association (CARE Singapore)","I am 14 years old soon and will be the oldest students in my primary school but I still need big people like you to help us, because I only have $2 pocket money and can't help as many as I would like to,  A life gone is done forever  Let's help them and their children get back to normal life?  Like Penguins in winter, we need to help each other so that children can grow up into a better world.  Dear adults, would you help us so that we can be there to build a better world for you when you are OLD.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749544","Rehabilitation and Healthcare for the elderly in the community at LKH","Ling Kwang Home for Senior Citizens","Its the combined effort that makes it more meaningful... Hi, I am Edwin and have been totally blind since birth. I am thankful to God who is making me a blessing to the Senior Citizens at Ling Kwang Home as I advocate for them. I believe that Our hearts will be blessed when we support and give to those who need them. In my quest to support those who need help, I am giving my service to Ling Kwang Home as I believe in Ling Kwang Home's loving attitude towards the elderly under their care! Funds donated to the General Fund at the nursing home will be used to help to defray the costs (all costs, including direct operating and others costs) as the team runs good and meaningful activities and programmes for the elderly. Please join me to bless them? Your love and sharing, in any amount  is much appreciated. Thank you so much for your generosity.","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749546","Your help matters","Ling Kwang Home for Senior Citizens","Please join me to assist to raise funds for the Nursing Home. The funds you generously donate will be for General Funds to defray costs in providing great care for it's residents.FF ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
